Station name,Station number,Date,Time,Temperature (C°)
Tel Aviv Beach,2410,01/01/2017,2:00,9.7
Tel Aviv Beach,2410,01/01/2017,5:00,9.5
Tel Aviv Beach,2410,01/01/2017,8:00,9.7
Tel Aviv Beach,2410,01/01/2017,11:00,15.9
Tel Aviv Beach,2410,01/01/2017,14:00,16.3
Tel Aviv Beach,2410,01/01/2017,17:00,14.6
Tel Aviv Beach,2410,01/01/2017,20:00,13
Tel Aviv Beach,2410,01/01/2017,23:00,10.9
Tel Aviv Beach,2410,02/01/2017,2:00,10.3
Tel Aviv Beach,2410,02/01/2017,5:00,10.6
Tel Aviv Beach,2410,02/01/2017,8:00,10.8
Tel Aviv Beach,2410,02/01/2017,11:00,15.6
Tel Aviv Beach,2410,02/01/2017,14:00,14.6
Tel Aviv Beach,2410,02/01/2017,17:00,12.7
Tel Aviv Beach,2410,02/01/2017,20:00,11.8
Tel Aviv Beach,2410,02/01/2017,23:00,11.2
Tel Aviv Beach,2410,03/01/2017,2:00,10.7
Tel Aviv Beach,2410,03/01/2017,5:00,10.6
Tel Aviv Beach,2410,03/01/2017,8:00,11.3
Tel Aviv Beach,2410,03/01/2017,11:00,14.6
Tel Aviv Beach,2410,03/01/2017,14:00,17
Tel Aviv Beach,2410,03/01/2017,17:00,15.1
Tel Aviv Beach,2410,03/01/2017,20:00,13.5
Tel Aviv Beach,2410,03/01/2017,23:00,11.7
Tel Aviv Beach,2410,04/01/2017,2:00,11.6
Tel Aviv Beach,2410,04/01/2017,5:00,10.7
Tel Aviv Beach,2410,04/01/2017,8:00,11.5
Tel Aviv Beach,2410,04/01/2017,11:00,13.2
Tel Aviv Beach,2410,04/01/2017,14:00,16.5
Tel Aviv Beach,2410,04/01/2017,17:00,14.8
Tel Aviv Beach,2410,04/01/2017,20:00,14
Tel Aviv Beach,2410,04/01/2017,23:00,11.9
Tel Aviv Beach,2410,05/01/2017,2:00,11.2
Tel Aviv Beach,2410,05/01/2017,5:00,10.7
Tel Aviv Beach,2410,05/01/2017,8:00,11.8
Tel Aviv Beach,2410,05/01/2017,11:00,17.7
Tel Aviv Beach,2410,05/01/2017,14:00,18.6
Tel Aviv Beach,2410,05/01/2017,17:00,16.8
Tel Aviv Beach,2410,05/01/2017,20:00,15
Tel Aviv Beach,2410,05/01/2017,23:00,13.4
Tel Aviv Beach,2410,06/01/2017,2:00,11.3
Tel Aviv Beach,2410,06/01/2017,5:00,10.8
Tel Aviv Beach,2410,06/01/2017,8:00,13
Tel Aviv Beach,2410,06/01/2017,11:00,18.9
Tel Aviv Beach,2410,06/01/2017,14:00,20.2
Tel Aviv Beach,2410,06/01/2017,17:00,18.2
Tel Aviv Beach,2410,06/01/2017,20:00,14.5
Tel Aviv Beach,2410,06/01/2017,23:00,12
Tel Aviv Beach,2410,07/01/2017,2:00,10.6
Tel Aviv Beach,2410,07/01/2017,5:00,10.2
Tel Aviv Beach,2410,07/01/2017,8:00,12.1
Tel Aviv Beach,2410,07/01/2017,11:00,16.4
