Station name,Station number,Date,Radiation type,05-06 LST(W•h/m²),06-07 LST(W•h/m²),07-08 LST(W•h/m²),08-09 LST(W•h/m²),09-10 LST(W•h/m²),10-11 LST(W•h/m²),11-12 LST(W•h/m²),12-13 LST(W•h/m²),13-14 LST(W•h/m²),14-15 LST(W•h/m²),15-16 LST(W•h/m²),16-17 LST(W•h/m²),17-18 LST(W•h/m²),18-19 LST(W•h/m²)
??? ??? ?????,2524,01/01/2017,Global,0,3.9302,170.9637,538.4374,860.7138,1057.2238,1151.5486,1114.2117,957.0037,683.8548,361.5784,55.0228,0,0
??? ??? ?????,2524,02/01/2017,Global,0,3.9302,145.4174,506.9958,821.4118,1049.3634,1096.5258,907.8762,499.1354,157.208,23.5812,19.651,0,0
??? ??? ?????,2524,03/01/2017,Global,0,17.6859,123.8013,174.8939,597.3904,821.4118,320.3113,841.0628,992.3755,778.1796,284.9395,37.3369,0,0
??? ??? ?????,2524,04/01/2017,Global,0,0,15.7208,123.8013,149.3476,567.9139,652.4132,609.181,909.8413,666.1689,129.6966,53.0577,0,0
??? ??? ?????,2524,05/01/2017,Global,0,5.8953,202.4053,579.7045,880.3648,1069.0144,1063.1191,1088.6654,923.597,544.3327,208.3006,31.4416,0,0
??? ??? ?????,2524,06/01/2017,Global,0,3.9302,131.6617,563.9837,864.644,1084.7352,1192.8157,1157.4439,988.4453,719.2266,385.1596,66.8134,0,0
??? ??? ?????,2524,07/01/2017,Global,0,5.8953,155.2429,432.322,764.4239,1035.6077,1159.409,1165.3043,1039.5379,764.4239,404.8106,70.7436,0,0
??? ??? ?????,2524,08/01/2017,Global,0,3.9302,70.7436,159.1731,367.4737,760.4937,931.4574,1086.7003,864.644,646.5179,261.3583,35.3718,0,0
??? ??? ?????,2524,09/01/2017,Global,0,5.8953,200.4402,499.1354,699.5756,964.8641,1226.2224,1169.2345,968.7943,742.8078,361.5784,55.0228,0,0
??? ??? ?????,2524,10/01/2017,Global,0,5.8953,235.812,569.879,854.8185,1102.4211,1124.0372,809.6212,1059.1889,674.0293,290.8348,53.0577,0,0
??? ??? ?????,2524,11/01/2017,Global,0,5.8953,172.9288,495.2052,839.0977,1057.2238,1165.3043,1161.3741,996.3057,734.9474,406.7757,80.5691,0,0
??? ??? ?????,2524,12/01/2017,Global,0,5.8953,178.8241,530.577,882.3299,931.4574,1184.9553,1175.1298,996.3057,732.9823,400.8804,74.6738,0,0
??? ??? ?????,2524,13/01/2017,Global,0,5.8953,135.5919,510.926,813.5514,1100.456,1082.7701,1190.8506,644.5528,786.04,341.9274,76.6389,0,0
??? ??? ?????,2524,14/01/2017,Global,0,5.8953,53.0577,112.0107,198.4751,239.7422,206.3355,125.7664,168.9986,247.6026,82.5342,19.651,0,0
??? ??? ?????,2524,15/01/2017,Global,0,3.9302,147.3825,320.3113,858.7487,575.7743,980.5849,1055.2587,937.3527,713.3313,442.1475,94.3248,0,0
??? ??? ?????,2524,16/01/2017,Global,0,9.8255,192.5798,512.8911,770.3192,1049.3634,1070.9795,1098.4909,1023.8171,642.5877,393.02,94.3248,0,0
??? ??? ?????,2524,17/01/2017,Global,0,5.8953,143.4523,469.6589,731.0172,982.55,911.8064,905.9111,955.0386,723.1568,383.1945,88.4295,0,0
??? ??? ?????,2524,18/01/2017,Global,0,3.9302,121.8362,383.1945,599.3555,990.4104,1149.5835,1161.3741,1033.6426,803.7259,359.6133,84.4993,0,0
??? ??? ?????,2524,19/01/2017,Global,0,7.8604,190.6147,440.1824,768.3541,738.8776,917.7017,1210.5016,1057.2238,766.389,442.1475,113.9758,0,0
??? ??? ?????,2524,20/01/2017,Global,0,5.8953,196.51,518.7864,900.0158,1114.2117,1251.7687,1238.013,1096.5258,835.1675,467.6938,104.1503,0,0
??? ??? ?????,2524,21/01/2017,Global,0,7.8604,80.5691,526.6468,652.4132,1049.3634,856.7836,1182.9902,1098.4909,880.3648,609.181,153.2778,0,0
??? ??? ?????,2524,22/01/2017,Global,0,5.8953,214.1959,597.3904,894.1205,1149.5835,1224.2573,1151.5486,892.1554,742.8078,422.4965,86.4644,0,0
??? ??? ?????,2524,23/01/2017,Global,0,7.8604,206.3355,542.3676,774.2494,1155.4788,1263.5593,1241.9432,1086.7003,821.4118,491.275,127.7315,0,0
??? ??? ?????,2524,24/01/2017,Global,0,9.8255,212.2308,538.4374,662.2387,957.0037,931.4574,1010.0614,903.946,585.5998,292.7999,72.7087,0,0
??? ??? ?????,2524,25/01/2017,Global,0,1.9651,60.9181,204.3704,373.369,510.926,672.0642,646.5179,440.1824,424.4616,210.2657,68.7785,0,0
??? ??? ?????,2524,26/01/2017,Global,0,7.8604,92.3597,255.463,528.6119,780.1447,736.9125,611.1461,538.4374,379.2643,155.2429,78.604,1.9651,0
??? ??? ?????,2524,27/01/2017,Global,0,1.9651,88.4295,174.8939,312.4509,1015.9567,793.9004,506.9958,328.1717,585.5998,90.3946,21.6161,1.9651,0
??? ??? ?????,2524,28/01/2017,Global,0,1.9651,31.4416,133.6268,626.8669,652.4132,703.5058,770.3192,703.5058,406.7757,263.3234,74.6738,1.9651,0
??? ??? ?????,2524,29/01/2017,Global,0,15.7208,302.6254,636.6924,980.5849,1188.8855,1065.0842,1041.503,890.1903,890.1903,581.6696,178.8241,1.9651,0
??? ??? ?????,2524,30/01/2017,Global,0,11.7906,249.5677,585.5998,941.2829,1179.06,1318.5821,1182.9902,1019.8869,750.6682,560.0535,145.4174,1.9651,0
??? ??? ?????,2524,31/01/2017,Global,0,11.7906,172.9288,581.6696,428.3918,746.738,1002.201,337.9972,817.4816,345.8576,442.1475,172.9288,3.9302,0
