Station name,Station number,Date,Radiation type,05-06 LST(W•h/m²),06-07 LST(W•h/m²),07-08 LST(W•h/m²),08-09 LST(W•h/m²),09-10 LST(W•h/m²),10-11 LST(W•h/m²),11-12 LST(W•h/m²),12-13 LST(W•h/m²),13-14 LST(W•h/m²),14-15 LST(W•h/m²),15-16 LST(W•h/m²),16-17 LST(W•h/m²),17-18 LST(W•h/m²),18-19 LST(W•h/m²)
??? ??? ?????,2524,01/01/2017,Global,0,9.14,397.59,1252.18,2001.66,2458.66,2678.02,2591.19,2225.59,1590.36,840.88,127.96,0,0
??? ??? ?????,2524,02/01/2017,Global,0,9.14,338.18,1179.06,1910.26,2440.38,2550.06,2111.34,1160.78,365.6,54.84,45.7,0,0
??? ??? ?????,2524,03/01/2017,Global,0,41.13,287.91,406.73,1389.28,1910.26,744.91,1955.96,2307.85,1809.72,662.65,86.83,0,0
??? ??? ?????,2524,04/01/2017,Global,0,0,36.56,287.91,347.32,1320.73,1517.24,1416.7,2115.91,1549.23,301.62,123.39,0,0
??? ??? ?????,2524,05/01/2017,Global,0,13.71,470.71,1348.15,2047.36,2486.08,2472.37,2531.78,2147.9,1265.89,484.42,73.12,0,0
??? ??? ?????,2524,06/01/2017,Global,0,9.14,306.19,1311.59,2010.8,2522.64,2773.99,2691.73,2298.71,1672.62,895.72,155.38,0,0
??? ??? ?????,2524,07/01/2017,Global,0,13.71,361.03,1005.4,1777.73,2408.39,2696.3,2710.01,2417.53,1777.73,941.42,164.52,0,0
??? ??? ?????,2524,08/01/2017,Global,0,9.14,164.52,370.17,854.59,1768.59,2166.18,2527.21,2010.8,1503.53,607.81,82.26,0,0
??? ??? ?????,2524,09/01/2017,Global,0,13.71,466.14,1160.78,1626.92,2243.87,2851.68,2719.15,2253.01,1727.46,840.88,127.96,0,0
??? ??? ?????,2524,10/01/2017,Global,0,13.71,548.4,1325.3,1987.95,2563.77,2614.04,1882.84,2463.23,1567.51,676.36,123.39,0,0
??? ??? ?????,2524,11/01/2017,Global,0,13.71,402.16,1151.64,1951.39,2458.66,2710.01,2700.87,2316.99,1709.18,945.99,187.37,0,0
??? ??? ?????,2524,12/01/2017,Global,0,13.71,415.87,1233.9,2051.93,2166.18,2755.71,2732.86,2316.99,1704.61,932.28,173.66,0,0
??? ??? ?????,2524,13/01/2017,Global,0,13.71,315.33,1188.2,1891.98,2559.2,2518.07,2769.42,1498.96,1828,795.18,178.23,0,0
??? ??? ?????,2524,14/01/2017,Global,0,13.71,123.39,260.49,461.57,557.54,479.85,292.48,393.02,575.82,191.94,45.7,0,0
??? ??? ?????,2524,15/01/2017,Global,0,9.14,342.75,744.91,1997.09,1339.01,2280.43,2454.09,2179.89,1658.91,1028.25,219.36,0,0
??? ??? ?????,2524,16/01/2017,Global,0,22.85,447.86,1192.77,1791.44,2440.38,2490.65,2554.63,2380.97,1494.39,914,219.36,0,0
??? ??? ?????,2524,17/01/2017,Global,0,13.71,333.61,1092.23,1700.04,2285,2120.48,2106.77,2221.02,1681.76,891.15,205.65,0,0
??? ??? ?????,2524,18/01/2017,Global,0,9.14,283.34,891.15,1393.85,2303.28,2673.45,2700.87,2403.82,1869.13,836.31,196.51,0,0
??? ??? ?????,2524,19/01/2017,Global,0,18.28,443.29,1023.68,1786.87,1718.32,2134.19,2815.12,2458.66,1782.3,1028.25,265.06,0,0
